YearTerm,Subject,Number
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,103
2023-sp,ECON,202
2023-sp,ECON,202
2023-sp,ECON,202
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,203
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,302
2023-sp,ECON,303
2023-sp,ECON,303
2023-sp,ECON,303
2023-sp,ECON,303
2023-sp,ECON,303
2023-sp,ECON,402
2023-sp,ECON,411
2023-sp,ECON,414
2023-sp,ECON,418
2023-sp,ECON,425
2023-sp,ECON,426
2023-sp,ECON,437
2023-sp,ECON,440
2023-sp,ECON,440
2023-sp,ECON,440
2023-sp,ECON,447
2023-sp,ECON,448
2023-sp,ECON,450
2023-sp,ECON,460
2023-sp,ECON,471
2023-sp,ECON,471
2023-sp,ECON,472
2023-sp,ECON,475
2023-sp,ECON,484
2023-sp,ECON,490
2023-sp,ECON,490
2023-sp,ECON,490
2023-sp,ECON,490
2023-sp,ECON,491
2023-sp,ECON,491
2023-sp,ECON,503
2023-sp,ECON,503
2023-sp,ECON,517
2023-sp,ECON,535
2023-sp,ECON,590
2023-sp,EDUC,201
2023-sp,EDUC,201
2023-sp,EDUC,201
2023-sp,EDUC,201
2023-sp,EDUC,202
2023-sp,EDUC,202
2023-sp,EDUC,202
2023-sp,EDUC,202
2023-sp,EDUC,202
2023-sp,EIL,411
2023-sp,EIL,445
2023-sp,EIL,488
2023-sp,ENG,111
2023-sp,ENG,211
2023-sp,ENG,377
2023-sp,ENG,398
2023-sp,ENG,471
2023-sp,ENG,571
2023-sp,ENG,598
2023-sp,ENGL,104
2023-sp,ENGL,104
2023-sp,ENGL,104
2023-sp,ENGL,109
2023-sp,ENGL,115
2023-sp,ENGL,119
2023-sp,ENGL,120
2023-sp,ENGL,200
2023-sp,ENGL,202
2023-sp,ENGL,204
2023-sp,ENGL,218
2023-sp,ENGL,218
2023-sp,ENGL,245
2023-sp,ENGL,250
2023-sp,ENGL,259
2023-sp,ENGL,273
2023-sp,ENGL,280
2023-sp,ENGL,285
2023-sp,ENGL,286
2023-sp,ENGL,301
2023-sp,ENGL,350
2023-sp,ENGL,350
2023-sp,ENGL,380
2023-sp,ENGL,411
2023-sp,ENGL,449
2023-sp,ENGL,455
2023-sp,ENVS,301
2023-sp,EPOL,201
2023-sp,EPOL,202
2023-sp,EPOL,202
2023-sp,EPOL,403
2023-sp,EPOL,406
2023-sp,EPOL,407
2023-sp,EPOL,409
2023-sp,EPOL,410
2023-sp,EPOL,472
2023-sp,EPOL,474
2023-sp,EPOL,483
2023-sp,EPOL,483
2023-sp,EPOL,515
2023-sp,EPOL,523
2023-sp,EPOL,525
2023-sp,EPOL,528
2023-sp,EPOL,531
2023-sp,EPOL,540
2023-sp,EPOL,542
2023-sp,EPOL,570
2023-sp,EPOL,576
2023-sp,EPSY,201
2023-sp,EPSY,220
2023-sp,EPSY,220
2023-sp,EPSY,220
2023-sp,EPSY,220
2023-sp,EPSY,420
2023-sp,EPSY,480
2023-sp,EPSY,480
2023-sp,EPSY,581
2023-sp,EPSY,587
2023-sp,ERAM,572
2023-sp,ERAM,581
2023-sp,ESE,311
2023-sp,ESE,320
2023-sp,ESE,445
2023-sp,ETMA,100
2023-sp,ETMA,234
2023-sp,ETMA,311
2023-sp,ETMA,339
2023-sp,ETMA,421
2023-sp,ETMA,439
2023-sp,FAA,201
2023-sp,FAA,202
2023-sp,FAA,330
2023-sp,FAA,431
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,221
2023-sp,FIN,230
2023-sp,FIN,230
2023-sp,FIN,241
2023-sp,FIN,241
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,300
2023-sp,FIN,321
2023-sp,FIN,321
2023-sp,FIN,321
2023-sp,FIN,321
2023-sp,FIN,380
2023-sp,FIN,392
2023-sp,FIN,393
2023-sp,FIN,394
2023-sp,FIN,412
2023-sp,FIN,412
2023-sp,FIN,418
2023-sp,FIN,419
2023-sp,FIN,423
2023-sp,FIN,423
2023-sp,FIN,432
2023-sp,FIN,434
2023-sp,FIN,435
2023-sp,FIN,435
2023-sp,FIN,443
2023-sp,FIN,446
2023-sp,FIN,463
2023-sp,FIN,463
2023-sp,FIN,464
2023-sp,FIN,500
2023-sp,FIN,500
2023-sp,FIN,501
2023-sp,FIN,511
2023-sp,FIN,511
2023-sp,FIN,512
2023-sp,FIN,512
2023-sp,FIN,514
2023-sp,FIN,521
